
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
40400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
40600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,10.00,1,
40800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
41000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.12,9.89,1,
41200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
41400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
41600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.04,1,
41800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.08,10.00,1,
42000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.39,0.08,9.85,1,
42200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
42400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
42600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
42800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
43000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,-0.04,10.12,1,
43200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
43400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
43600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.04,1,
43800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
44000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.31,0.08,9.61,1,
44200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
44400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
44600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.08,10.04,1,
44800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
45000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.04,10.04,1,
45200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
45400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
45600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.00,1,
